黒	コク;くろ;くろずむ;くろい	black	general
今	コン;キン;いま	now	general
考	コウ;かんがえる;かんがえ	consider; think over	general
工	コウ;ク;グ	craft; construction; katakana e radical (no. 48)	general
広	コウ;ひろい;ひろまる;ひろめる;ひろがる;ひろげる	wide; broad; spacious	general
後	ゴ;コウ;のち;うしろ;うしろ;あと;おくれる	behind; back; later	general
語	ゴ;かたる;かたらう	word; speech; language	general
交	コウ;まじわる;まじえる;まじる;まじる;まざる;まぜる;-かう;かわす;かわす;こもごも	mingle; mixing; association; coming & going	general
光	コウ;ひかる;ひかり	ray; light	general
公	コウ;ク;おおやけ	public; prince; official; governmental	general
午	ゴ;うま	noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac	general
言	ゲン;ゴン;いう;こと	say	general
古	コ;ふるい;ふる-;-ふるす	old	general
戸	コ;と	door; counter for houses; door radical (no. 63)	general
計	ケイ;はかる;はからう	plot; plan; scheme; measure	general
元	ゲン;ガン;もと	beginning; former time; origin	general
原	ゲン;はら	meadow; original; primitive; field; plain; prairie; tundra; wilderness	general
形	ケイ;ギョウ;かた;-がた;かたち;なり	shape; form; style	general
近	キン;コン;ちかい	near; early; akin; tantamount	general
兄	ケイ;キョウ;あに	elder brother; big brother	general
教	キョウ;おしえる;おそわる	teach; faith; doctrine	general
強	キョウ;ゴウ;つよい;つよまる;つよめる;しいる;こわい	strong	general
魚	ギョ;うお;さかな;-ざかな	fish	general
京	キョウ;ケイ;キン;みやこ	capital; 10**16	general
牛	ギュウ;うし	cow	general
汽	キ	vapor; steam	general
記	キ;しるす	scribe; account; narrative	general
弓	キュウ;ゆみ	bow; bow (archery, violin)	general
帰	キ;かえる;かえす;おくる;とつぐ	homecoming; arrive at; lead to; result in	general
丸	ガン;まる;まるめる;まるい	round; full; month; perfection; -ship; pills; make round; roll up; curl up; seduce; explain away	general
岩	ガン;いわ	boulder; rock; cliff	general
顔	ガン;かお	face; expression	general
間	カン;ケン;あいだ;ま;あい	interval; space	general
海	カイ;うみ	sea; ocean	general
絵	カイ;エ	picture; drawing; painting; sketch	general
外	ガイ;ゲ;そと;ほか;はずす;はずれる;と-	outside	general
角	カク;かど;つの	angle; corner; square; horn; antlers	general
楽	ガク;ラク;ゴウ;たのしい;たのしむ;このむ	music; comfort; ease	general
活	カツ;いきる;いかす;いける	lively; resuscitation; being helped; living	general
羽	ウ;は;わ;はね	feathers; counter for birds, rabbits	general
雲	ウン;くも;-ぐも	cloud	general
園	エン;その	park; garden; yard; farm	general
遠	エン;オン;とおい	distant; far	general
黄	コウ;オウ;き;こ-	yellow	general
何	カ;なに;なん;なに-;なん-	what	general
夏	カ;ガ;ゲ;なつ	summer	general
家	カ;ケ;いえ;や;うち	house; home	general
科	カ	department; course; section	general
歌	カ;うた;うたう	song; sing	general
画	ガ;カク;エ;カイ;えがく;かくする;かぎる;はかりごと;はかる	brush-stroke; picture	general
会	カイ;エ;あう;あわせる;あつまる	meeting; meet; party; association; interview; join	general
回	カイ;エ;まわる;-まわる;-まわり;まわす;-まわす;まわし-;-まわし;もとおる;かえる	-times; round; game; revolve; counter for occurrences	general
引	イン;ひく;ひき;ひき-;-びき;ひける	pull; tug; jerk; admit; install; quote; refer to	general
列	レツ;レ	file; row; rank; tier; column	general
練	レン;ねる;ねり	practice; gloss; train; drill; polish; refine	general
路	ロ;ル;-じ;みち	path; route; road; distance	general
和	ワ;オ;カ;やわらぐ;やわらげる;なごむ;なごやか	harmony; Japanese style; peace; soften; Japan	general
緑	リョク;ロク;みどり	green	general
礼	レイ;ライ	salute; bow; ceremony; thanks; remuneration	general
陽	ヨウ;ひ	sunshine; yang principle; positive; male; heaven; daytime	general
落	ラク;おちる;おち;おとす	fall; drop; come down	general
流	リュウ;ル;ながれる;ながれ;ながす;-ながす	current; a sink; flow; forfeit	general
旅	リョ;たび	trip; travel	general
両	リョウ;てる;ふたつ	both; old Japanese coin; counter for carriages (e.g., in a train); two	general
羊	ヨウ;ひつじ	sheep	general
葉	ヨウ;は	leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece	general
様	ヨウ;ショウ;さま;さん	Esq.; way; manner; situation; polite suffix	general
洋	ヨウ	ocean; western style	general
